Subject	IGHV1-7	IGHV1-10	IGHV1-14	IGHV1-17	IGHV1-20	IGHV1-21	IGHV1-27	IGHV1-30	IGHV1-7UL	FracULGlobal	PreVacc	InitialVacc	BoosterVacc	BoosterResponseVacc
14271	0.11931281244	0.176816823511	0.126968094863	0.242758595069	0.24877694267	0.140154127282	0.0767525070644	0.0808831553602	50.65743741	0.04640830346	4.66	4.16	2.83	2.5
14273	0.0610742056749	0.115592332252	0.052385872084	0.257048509192	0.334387391215	0.146658877903	0.154608566353	0.0584044621247	38.70827286	0.01685088578	4.16	3.16	0.0	4.16
14275	0.0686836296845	0.0628569333827	0.100668719516	0.325262780144	0.332548079891	0.169099601778	0.102069441872	0.0971572667778	21.41177828	0.009683402275	3.83	2.5	2.83	4.5
14277	0.0756682701559	0.459372715028	0.334208197037	0.124274773908	0.064660380989	0.0517898787762	0.0222774677699	0.032906676929	32.04429131	0.01685999954	3.83	3.83	4.16	5.16
14279	0.128254422779	0.123772720717	0.0732814572216	0.216148902264	0.292923554264	0.191177660439	0.16637879177	0.0671639690854	39.73903129	0.03732287769	3.5	2.5		6.33
14281	0.0791927265646	0.108556764601	0.0628497512622	0.0830246326887	0.232770331357	0.33208462184	0.25078469463	0.00984519377437	51.77925563	0.02960595128	4.83	3.16	2.16	4.16
14283	0.0788069068009	0.0574824902151	0.0787094258556	0.212716297343	0.273682351903	0.24218313175	0.193473926606	0.0526728171625	44.72271091	0.02574914244	4.16	3.16	2.5	2.83
14285	0.0726256003927	0.0517949077533	0.0927928608222	0.296186073857	0.29210165076	0.146335346104	0.091599491908	0.113507587669	19.78629396	0.01031136822	3.83	2.5	0.0	5.83
14287	0.103525243814	0.228259441801	0.240956068662	0.142883930424	0.171036575499	0.162724135108	0.125213926598	0.0440883919002	40.83981804	0.02787228474	5.83	3.83	3.5	4.33
14289	0.0914356252936	0.0416279889055	0.103089281321	0.246882479254	0.26314111884	0.135816259199	0.0960294249223	0.105089806965	45.48939313	0.03052656512	5.16	3.16	2.5	6.16
14291	0.0790275560328	0.0971419623136	0.0820605563954	0.221179432113	0.309663920954	0.16929110681	0.175023901362	0.0798305475884	19.97539708	0.01121113952	2.16	0.0	2.16	6.7
14293	0.0604536061103	0.0867876369337	0.0665729481806	0.252962173578	0.307289959381	0.149609686259	0.135261688358	0.0667815473915	31.58601248	0.01386740541	4.16	3.16	2.16	4.5
14295	0.0544677068024	0.19154813143	0.168445241969	0.243750656099	0.25707110802	0.114387597103	0.0697236510603	0.0748871509553	26.75940519	0.009174300455	6.16	4.66	3.83	2.5
14297	0.0821101960452	0.0561686394907	0.0815116702337	0.277885235989	0.294309518396	0.124191556809	0.116138478684	0.111079049251	48.2912841	0.02709064805	2.5	2.5	1.83	4.83
14299	0.0782359604897	0.450951265817	0.283299900597	0.119826134847	0.102697081501	0.0658173408438	0.0244980611998	0.0430856922815	43.1995221	0.02308293609	5.16	4.5	3.5	5.16
14301	0.0415597675612	0.245033586939	0.252529764618	0.128811577141	0.158210241998	0.166580279166	0.127212323112	0.0388939100719	18.73777462	0.00501564491	0.0	0.0	0.0	5.5
14303	0.0936677275326	0.162468448382	0.0450796804695	0.105701528918	0.264480243056	0.19411537062	0.21887609817	0.0101300186566	51.75310806	0.04153196054	2.83	2.5	2.83	2.83
14305	0.101294989694	0.0537038979062	0.102204510951	0.245077755247	0.278130228155	0.141155150801	0.109063163703	0.115559184058	36.87004003	0.0264935162	4.5	3.83	3.16	4.5
14307	0.0908665711329	0.110957278481	0.0848297806703	0.239580845474	0.304583631876	0.18214861476	0.174571839424	0.0628420806464	29.81153849	0.01887042887	5.83	3.5	4.16	4.5
14309	0.0831307424775	0.136043725019	0.0514703337774	0.0802843770007	0.251475092139	0.344924990916	0.282248715242	0.00793997542955	43.31313688	0.02443035872	4.83	2.83	5.83	6.83
14311	0.0998616092312	0.0530036644316	0.129490877904	0.111351941369	0.238778652737	0.302073912366	0.241981132075	0.0459535318884	34.38321275	0.02347447883	4.83	2.83	5.5	9.16
14313	0.0800302416973	0.0649487702497	0.0817037731243	0.311200059853	0.347112075415	0.14703056459	0.105141088544	0.101927908204	31.8849262	0.01704640749	5.16	4.83	2.83	5.16
14315	0.0516273346589	0.260872665341	0.217665178135	0.14146484566	0.202434890316	0.143897291307	0.158929968382	0.0459679259428	39.80150095	0.01263189482	3.83	3.83	3.16	6.16
14317	0.0634162476372	0.192617836745	0.142776114662	0.240059418402	0.252298940475	0.103895033859	0.0661423772854	0.0851285627458	35.88703149	0.01618467605	5.5	4.5	3.16	5.16
